Code,Name,Stock,Origin,Gender,Type,Size,Pairs per Bag,Price,Original Price,Total Discount,Color,Gender,Pairs per Bag,Pairs per Box,Supplier
61,Khone Mel Zaka,6,,K,,30-35,,5000,,,,,,,
77,Luoeu,6,,K,,24-29,,7000,,,,,,,
212,Car Kwin,20,,K,,30-35,,9500,,,,,,,
1730,Nike Yayso,1,,K,,30-35(33),,9500,,,,,,,
228,Wat Win Zaka Nyat,18,,K,,30-35,,4500,,,,,,,
6906 Kalay,Labubu Kalay Nyat,8,,K,,24-29,,19000,,,,,,,
6906 Zaka,Labubu Zaka Nyat,21,,K,,30-35,,19500,,,,,,,
8119,4G Zaka,4,,K,,30-35,,11500,,,,,,,
Adidas Atone,Adidas Atone,4,,K,,24-29,,9500,,,,,,,
Adidas Kalay Kyarpwint,Adidas Kalay Kyarpwint,6,,K,,24-29,,9000,,,,,,,
Adidas Kyar Kyarpwint,Adidas Kyar Kyarpwint,6,,M,,40-45,,12000,,,,,,,
Adidas Kyarkwin,Adidas Kyarkwin,2,,M,,40-45,,9500,,,,,,,
Adidas Zaka Kyarpwint,Adidas Zaka Kyarpwint,6,,K,,30-35,,9500,,,,,,,
Allstar Kalay Shoes,Allstar Kalay Shoes,6,,K,,24-29,,9500,,,,,,,
Allstar Zaka Shoes,Allstar Zaka Shoes,8,,K,,30-35,,9500,,,,,,,
Batman Zaka Nyat,Batman Zaka Nyat,22,,K,,30-35,,13000,,,,,,,
IP Kalay Pan Nyat,IP Kalay Pan Nyat,6,,KF,,24-29,,5500,,,,,,,
Loofu Nyat,Loofu Zaka,4,,K,,30-35,,15000,,,,,,,
Lucky Zaka Kwin,Lucky Zaka Kwin,10,,K,,30-34,,10000,,,,,,,
Nike Airmax Kyarkwin,Nike Airmax Kyarkwin,8,,M,,40-45,,13000,,,,,,,
Nike Yayso,Nike Yayso,3,,M,,40-45,,13000,,,,,,,
Nwar Kwin,Nwar Kwin,2,,K,,30-35(32),,6500,,,,,,,
Phar Kwin Kalay,Phar Kwin Kalay,23,,K,,24-29,,13500,,,,,,,
Phar Kwin Zaka,Phar Kwin Zaka,24,,K,,30-35,,14000,,,,,,,
Sport Kalay,Sport Kalay,5,,K,,24-29,,10500,,,,,,,
Sport Fashion,Sport Fashion,1,,M,,40-45,,13000,,,,,,,
238,Adidas  Kwin,2,,K,,"30-35(31,32)",,9000,,,,,,,
Sport Pyaut Kyar,Sport Pyaut Kyar,4,,K,,24-29,,9000,,,,,,,
Adidas 2line,Adidas 2line,1,,K,,24-29(24),,11000,,,,,,,
Adidas Zaka Kwin,Adidas Zaka Kwin,1,,K,,30-35,,9500,,,,,,,
Nike Zaka Kwin,Nike Zaka Kwin,1,,K,,30-35,,10500,,,,,,,
Venus Htu,Venus Htu,12,,F,,40-44,,16500,,,,,,,
Venus Par,Venus Par,4,,F,,40-44,,12500,,,,,,,
Gold Fish Par Kalay,Gold Fish Par Kalay,5,,KF,,"1_5,6_10,11_15",,6500,,,,,,,
3089,Fashion CKwin,10,,F,,36-40,,13000,,,,,,,
Than Zin,Than Zin,8,,KF,,"1_5,6_1011-15",,8000,,,,,,,
Yin Mar Color,Yin Mar Color,7,,KF,,"1-5,11-15",,6500,,,,,,,
Super Kyaut 2tan Kalay,Super Kyaut 2tan Kalay,5,,KF,,10-Jun,,6500,,,,,,,
KK Star Htu Daut,KK Star Htu Daut,15,,F,,40-45,,15000,,,,,,,
KK Star Par,KK Star Par,5,,F,,40-45,,14000,,,,,,,
Dr Martin Zaka,Dr Martin Zaka,4,,K,,30-34,,27000,,,,,,,
Tripper Daut Kwin,Tripper Daut Kwin,1,,F,,36-40(36),,36000,,,,,,,
Gold Fish Par ,Gold Fish Par ,1,,F,,36-40(36),,12000,,,,,,,
IS1072,In Trend,1,,F,,36-40(36),,23000,,,,,,,
TR052,Legend AC Kwin Zaka,3,,K,,30-35,,9500,,,,,,,
TR073,Legend AC CNyat Zaka,3,,K,,30-35,,9500,,,,,,,
SL8809,Kyar Nyat Fot,3,,M,,39-44,,18000,,,,,,,
NC8089,CNyat,1,,F,,36-40(36+37),,13000,,,,,,,
Soul Kyar Kalay,Soul Kyar Kalay,6,,K,,9-May,,5500,,,,,,,
Baby Jean Kautsot Naykyar,Baby Jean Kautsot Naykyar,3,,K,,"30-35(31,32,33)",,9500,,,,,,,
Gold Fish Leather Par Nyat,Gold Fish Leather Par Nyat,5,,F,,41-45,,6500,,,,,,,
RZ533,Min Min Kwin,5,,F,,36-40,,25000,,,,,,,
AT18237,Sensini CKwin,4,,F,,36-40,,15000,,,,,,,
Fuijing Kyar Kwin,Fuijing Kyar Kwin,13,,M,,40-44,,12000,,,,,,,
Fuijing Zaka Kwin,Fuijing Zaka Kwin,9,,K,,30-34,,9500,,,,,,,
LLJ061,Batman Kalay Kwin,2,,K,,"30-31,34-35",,9500,,,,,,,
AB Walk Kalay Kwin Pyaung,AB Walk Kalay Kwin Kyaung,3,,K,,24-29,,13000,,,,,,,
AB Walk Buckle 2tan Kwin,AB Walk Buckle 2tan Kwin,8,,F,,36-40,,12000,,,,,,,
AB Walk Htate Pate,AB Walk Htate Pate,5,,F,,36-40,,12000,,,,,,,
Y219,Athee Kalay Htate Pate,18,,K,,30-39,,6500,,,,,,,
A058,Watwun Kalay Htate Pate,5,,K,,30-39,,6500,,,,,,,
6638,OK Kalay Kwin,8,,K,,25-29(28),,8500,,,,,,,
KS0134,Penne,3,,F,,36-40,,23000,,,,,,,
V95913,Miss Sui,1,,F,,36-40,,14500,,,,,,,
Mya 3 Lone Kwar Late Pyar,Mya 3 Lone Kwar Late Pyar,4,,F,,9-May,,10500,,,,,,,
